Date,Country,State,Description,Deaths,Tesla_driver,Tesla_occupant,Other_vehicle,CP,tsla+cp,Model,Claimed,VTAD
7/24/2018, USA , MO , Concrete falls on Tesla ,1.0,  1 , - , - , - ,  1 , - , - , - 
5/20/2018, USA , CA , Tesla drives into pond ,1.0,  1 , - , - , - ,  1 , S , - , - 
5/10/2018, Switzerland ,-," Tesla drives into median, burns ",1.0,  1 , - , - , - ,  1 , - , - , - 
5/8/2018, USA , FL , Two teens trapped in burning Tesla ,2.0,  1 ,  1 , - , - ,  2 , S , - , - 
4/29/2018, Japan ,-, Sleeping Tesla driver kills motorcyclist ,1.0, - , - ,  1 , - , - , X ,  1 ,  1 
4/28/2018, USA , OH , Ohio prom night crash ,1.0, - ,  1 , - , - ,  1 , S , - , - 
3/23/2018, USA , CA , Autopilot into highway barrier ,1.0,  1 , - , - , - ,  1 , - ,  1 ,  1 
3/12/2018, China ,-, Tesla kills pedestrian ,1.0, - , - , - ,  1 ,  1 , - , - , - 
3/12/2018, Norway ,-, Sudden unintended acceleration into wall ,1.0,  1 , - , - , - ,  1 , - , - , - 
11/22/2017, Switzerland ,-, Tesla rear ends stopped car ,1.0, - , - ,  1 , - , - , S , - , - 
11/14/2017, Australia ,-, Tesla kills cyclist ,1.0, - , - , - ,  1 ,  1 , - , - , - 
9/24/2017, USA , TN , Tesla drives off road ,1.0,  1 , - , - , - ,  1 , - , - , - 
8/13/2017, USA , AZ , Tesla kills motorcyclist ,1.0, - , - ,  1 , - , - , - , - , - 
7/21/2017, USA , AZ , Wrong way driver strikes Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
6/25/2017, USA , CA , Tesla strikes Camry ,1.0, - , - ,  1 , - , - , - , - , - 
6/10/2017, USA , HI , Unclear; see note at right ,1.0, - , - ,  1 , - , - , S , - , - 
5/11/2017, USA , FL , Tesla into oncoming traffic ,1.0, - , - ,  1 , - , - , - , - , - 
4/26/2017, Norway ,-, Tesla into oncoming traffic ,1.0, - , - ,  1 , - , - , - , - , - 
3/13/2017, USA , CA , Tesla kills pedestrian ,1.0, - , - , - ,  1 ,  1 , - , - , - 
1/17/2017, Germany ,-, Driver died in pileup ,1.0,  1 , - , - , - ,  1 , - , - , - 
12/20/2016, USA , CA , Tesla kills pedestrian ,1.0, - , - , - ,  1 ,  1 , X , - , - 
11/23/2016, USA , IL , Driver dead in Winnebago County ,1.0,  1 , - , - , - ,  1 , S , - , - 
11/3/2016, USA , IN , Indianapolis fire ,2.0,  1 ,  1 , - , - ,  2 , - , - , - 
10/10/2016, USA , NH , Pileup ,1.0, - , - ,  1 , - , - , S , - , - 
10/7/2016, USA , CA , Tesla kills motorcyclist ,1.0, - ,-,  1 , - , - , - , - , - 
9/7/2016, Holland ,-, Drove into wooded ravine ,1.0,  1 , - , - , - ,  1 , - , - , - 
9/1/2016, USA , FL , Motorcyclist rear ends Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
8/15/2016, USA , CA , Tesla rear ended ,1.0, - ,  1 , - , - ,  1 , S , - , - 
7/29/2016, USA , FL , Tesla kills pedestrian ,1.0, - , - , - ,  1 ,  1 , - , - , - 
7/22/2016, USA , CA , Passat strikes Tesla ,1.0, - , - ,  1 , - , - , S , - , - 
6/8/2016, USA , HI , Nissan Altima wrong way into Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
5/7/2016, USA , FL , Autopilot into 18 wheeler ,1.0,  1 , - , - , - ,  1 , - ,  1 ,  1 
4/22/2016, USA , CA , Pedestrian killed in pileup ,1.0, - , - , - ,  1 ,  1 , S , - , - 
4/8/2016, USA , OH , Chevy Cobalt wrong way into Tesla ,1.0, - , - ,  1 , - , - , - , - , - 
1/20/2016, China ,-, AutoPilot into street sweeper ,1.0,  1 , - , - , - ,  1 , S ,  1 ,  1 
12/28/2015, USA , TX , Sudden unintended acceleration into pool ,1.0,  1 , - , - , - ,  1 , - , - , - 
12/22/2015, Canada ,-, Struck by dumptruck ,1.0,  1 , - , - , - ,  1 , - ,-, - 
11/18/2015, USA , CA , Tesla kills pedestrian ,1.0, - , - , - ,  1 ,  1 , - , - , - 
6/22/2015, USA , CA , Tesla drives off cliff ,1.0,  1 , - , - , - ,  1 , - , - , - 
1/22/2015, USA , CA , Tesla drives off cliff ,1.0,  1 , - , - , - ,  1 , S , - , - 
12/30/2014, USA , CA , Tesla drives off cliff ,1.0,  1 , - , - , - ,  1 , - , - , - 
7/14/2014, USA , CA , Tesla kills motorcyclist ,1.0, - , - ,  1 , - , - , - , - , - 
7/4/2014, USA , CA , Thief crashes stolen Tesla ,1.0,  1 , - , - , - ,  1 , - , - , - 
7/4/2014, USA , CA , Tesla rear ends stopped car ,3.0, - , - ,  3 , - , - , - , - , - 
11/2/2013, USA , CA , Tesla kills cyclist ,1.0, - , - , - ,  1 ,  1 , - , - , - 
4/2/2013, USA , CA , Tesla veers into opposite lane ,2.0, - , - ,  2 , - , - , S , - , - 
